Invoice ID,Time,DayName,MonthName,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Payment,Rating,gross income,prediction,Sales
354-25-5821,2023-12-20 13:03:00,Thursday,February,B,Mandalay,Member,Female,Sports and travel,69.12,6,20.736,435.456,Cash,5.6,20.736,6,435.456
228-96-1411,2023-12-20 20:39:00,,March,C,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829.08,Cash,7.6,39.48,9,932.715
617-15-4209,2023-12-20 19:47:00,Friday,March,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,1.537,32.277,Cash,7.2,1.537,4,64.554
132-32-9879,2023-12-20 18:00:00,Friday,March,B,Mandalay,Member,Female,Electronic accessories,93.96,4,18.792,394.632,Cash,9.5,18.792,3,295.974
370-41-7321,2023-12-20 17:24:00,Tuesday,February,B,Mandalay,Member,Male,Health and beauty,56.69,9,25.5105,535.7205,Credit card,8.4,25.5105,8,476.19599999999997
727-46-3608,2023-12-20 15:47:00,Tuesday,February,B,Mandalay,Member,Female,Food and beverages,20.01,9,9.0045,189.0945,Ewallet,4.1,9.0045,6,126.063
669-54-1719,2023-12-20 12:45:00,Saturday,February,B,Mandalay,Member,Male,Electronic accessories,18.93,6,5.679,119.259,Credit card,8.1,5.679,5,99.38250000000001
574-22-5561,2023-12-20 17:08:00,Monday,March,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.315,867.615,Ewallet,7.9,41.315,10,867.615
326-78-5178,2023-12-20 10:19:00,Saturday,February,C,Naypyitaw,Member,Male,Food and beverages,91.4,7,31.99,671.79,Cash,9.5,31.99,7,671.7900000000001
162-48-8011,2023-12-20 15:10:00,Saturday,February,A,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,234.0975,Cash,8.5,11.1475,5,234.09750000000003
616-24-2851,2023-12-20 14:42:00,Thursday,March,B,Mandalay,Member,Female,Fashion accessories,17.87,4,3.574,75.054,Ewallet,6.5,3.574,5,93.81750000000001
778-71-5554,2023-12-20 15:46:00,Thursday,January,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,0.7715,16.2015,Credit card,6.1,0.7715,4,64.806
242-55-6721,2023-12-20 11:49:00,Wednesday,March,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,1.616,33.936,Ewallet,6.5,1.616,4,67.872
399-46-5918,2023-12-20 19:01:00,Wednesday,February,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,34.392,722.232,Cash,8.2,34.392,8,722.2320000000001
106-35-6779,2023-12-20 11:26:00,Tuesday,March,A,Yangon,Member,Male,Home and lifestyle,44.34,2,4.434,93.114,Cash,5.8,4.434,3,139.67100000000002
635-40-6220,2023-12-20 11:28:00,Wednesday,February,A,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,752.64,Ewallet,6.6,35.84,8,752.64
817-48-8732,2023-12-20 15:55:00,Saturday,January,A,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,Cash,5.4,36.175,10,759.675
120-06-4233,2023-12-20 20:36:00,Monday,March,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,9.183,192.843,Cash,9.3,9.183,5,160.70250000000001
285-68-5083,2023-12-20 17:47:00,Thursday,February,C,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.711,77.931,Credit card,10.0,3.711,4,103.90799999999999
803-83-5989,2023-12-20 10:55:00,Saturday,February,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,16.719,351.099,Ewallet,7.0,16.719,5,292.5825
347-34-2234,2023-12-20 13:40:00,Saturday,February,B,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,Ewallet,10.0,24.7815,8,462.588
199-75-8169,2023-12-20 12:27:00,Tuesday,March,A,Yangon,Member,Male,Sports and travel,15.81,10,7.905,166.005,Credit card,8.6,7.905,6,99.603
853-23-2453,2023-12-20 14:35:00,Wednesday,February,B,Mandalay,Member,Male,Health and beauty,75.74,4,15.148,318.108,Cash,7.6,15.148,4,318.108
877-22-3308,2023-12-20 16:40:00,Tuesday,March,A,Yangon,Member,Male,Health and beauty,15.87,10,7.935,166.635,Cash,5.8,7.935,6,99.981
838-78-4295,2023-12-20 15:43:00,Saturday,February,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,3.347,70.287,Ewallet,6.7,3.347,3,105.4305
109-28-2512,2023-12-20 15:01:00,,January,B,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,614.943,Ewallet,9.9,29.283,6,614.943
232-11-3025,2023-12-20 10:04:00,Wednesday,January,A,Yangon,Normal,Male,Sports and travel,78.77,10,39.385,827.085,Cash,6.4,39.385,10,827.0849999999999
382-03-4532,2023-12-20 18:50:00,Friday,February,A,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,Cash,4.3,0.9165,4,76.98599999999999
393-65-2792,2023-12-20 12:46:00,Saturday,January,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,939.54,Credit card,9.6,44.74,11,1033.4940000000001
796-12-2025,2023-12-20 16:19:00,,February,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,31.06,652.26,Cash,5.9,31.06,9,587.0339999999999
510-95-6347,2023-12-20 18:17:00,Monday,March,B,Mandalay,Member,Female,Food and beverages,48.52,3,7.278,152.838,Ewallet,4.0,7.278,3,152.838
841-35-6630,2023-12-20 18:21:00,Friday,March,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,22.773,478.233,Cash,8.7,22.773,6,478.233
287-21-9091,2023-12-20 10:55:00,Monday,January,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,Ewallet,9.4,33.6015,9,705.6315
732-94-0499,2023-12-20 17:04:00,Saturday,January,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,Credit card,5.4,20.825,8,349.86
263-10-3913,2023-12-20 14:20:00,Tuesday,January,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.068,463.428,Credit card,8.6,22.068,8,411.936
381-20-0914,2023-12-20 15:48:00,Friday,January,A,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,Credit card,5.7,9.0045,6,126.063
829-49-1914,2023-12-20 16:24:00,Monday,March,C,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.155,822.255,Ewallet,6.6,39.155,10,822.255
756-01-7507,2023-12-20 18:56:00,Monday,January,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,5.095,106.995,Cash,6.0,5.095,5,106.99499999999999
870-72-4431,2023-12-20 14:42:00,,January,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,29.757,624.897,Credit card,5.5,29.757,5,520.7475
847-38-7188,2023-12-20 19:56:00,Friday,January,B,Mandalay,Normal,Female,Food and beverages,96.68,3,14.502,304.542,Ewallet,6.4,14.502,1,101.51400000000001
480-63-2856,2023-12-20 18:37:00,Tuesday,January,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,7.7,161.7,Ewallet,6.6,7.7,6,121.275
787-56-0757,2023-12-20 18:45:00,Friday,February,C,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.072,337.512,Credit card,8.3,16.072,3,253.134
360-39-5055,2023-12-20 10:17:00,Friday,March,C,Naypyitaw,Member,Male,Sports and travel,48.91,5,12.2275,256.7775,Cash,6.6,12.2275,5,256.7775
730-50-9884,2023-12-20 14:31:00,Monday,March,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.071,610.491,Ewallet,4.0,29.071,7,610.4910000000001
362-58-8315,2023-12-20 10:23:00,,March,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,Cash,9.9,19.13,4,321.38399999999996
633-44-8566,2023-12-20 20:35:00,Tuesday,March,A,Yangon,Member,Male,Food and beverages,49.38,7,17.283,362.943,Credit card,7.3,17.283,6,311.09400000000005
504-35-8843,2023-12-20 16:57:00,Tuesday,January,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,Cash,5.7,2.1235,2,89.187
318-68-5053,2023-12-20 17:55:00,Tuesday,February,B,Mandalay,Normal,Female,Health and beauty,76.99,6,23.097,485.037,Cash,6.1,23.097,6,485.0369999999999
565-80-5980,2023-12-20 10:25:00,Tuesday,January,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,Cash,7.1,9.476,4,198.996
225-32-0908,2023-12-20 19:54:00,Friday,January,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,471.03,Ewallet,8.2,22.43,8,376.824
873-51-0671,2023-12-20 16:42:00,Wednesday,January,A,Yangon,Member,Female,Sports and travel,21.98,7,7.693,161.553,Ewallet,5.1,7.693,6,138.474
152-08-9985,2023-12-20 12:09:00,Monday,March,B,Mandalay,Member,Male,Health and beauty,64.36,9,28.962,608.202,Credit card,8.6,28.962,8,540.624
512-91-0811,2023-12-20 20:05:00,Tuesday,February,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.4875,94.2375,Credit card,6.6,4.4875,0,0.0
594-34-4444,2023-12-20 20:38:00,Thursday,March,A,Yangon,Normal,Male,Electronic accessories,97.16,1,4.858,102.018,Ewallet,7.2,4.858,0,0.0
766-85-7061,2023-12-20 10:25:00,Thursday,March,B,Mandalay,Normal,Male,Health and beauty,87.87,10,43.935,922.635,Ewallet,5.1,43.935,11,1014.8985
871-39-9221,2023-12-20 13:11:00,Friday,February,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,3.735,78.435,Cash,4.1,3.735,5,65.3625
865-92-6136,2023-12-20 10:16:00,Friday,March,A,Yangon,Normal,Male,Food and beverages,52.75,3,7.9125,166.1625,Ewallet,9.3,7.9125,3,166.1625
733-01-9107,2023-12-20 18:14:00,Monday,March,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,Cash,7.4,24.81,5,434.175
163-56-7055,2023-12-20 19:20:00,Monday,March,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,2.4355,51.1455,Cash,4.1,2.4355,2,102.291
189-98-2939,2023-12-20 13:22:00,Thursday,March,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.3475,742.2975,Cash,7.2,35.3475,9,742.2974999999999
551-21-3069,2023-12-20 11:27:00,Thursday,February,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.3815,218.0115,Cash,4.9,10.3815,6,145.341
212-62-1842,2023-12-20 16:44:00,Wednesday,March,A,Yangon,Normal,Male,Food and beverages,58.26,6,17.478,367.038,Cash,9.9,17.478,6,367.038
716-39-1409,2023-12-20 18:19:00,Monday,March,B,Mandalay,Normal,Male,Health and beauty,30.35,7,10.6225,223.0725,Cash,8.0,10.6225,6,191.205
704-48-3927,2023-12-20 14:50:00,Friday,January,A,Yangon,Member,Male,Electronic accessories,88.67,10,44.335,931.035,Ewallet,7.3,44.335,11,1024.1385
628-34-3388,2023-12-20 20:54:00,Friday,January,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.214,172.494,Credit card,7.9,8.214,5,143.745
630-74-5166,2023-12-20 20:19:00,Thursday,March,A,Yangon,Normal,Male,Sports and travel,62.13,6,18.639,391.419,Cash,7.4,18.639,6,391.41900000000004
588-01-7461,2023-12-20 10:43:00,Saturday,March,C,Naypyitaw,Normal,Female,Food and beverages,33.98,9,15.291,321.111,Cash,4.2,15.291,7,249.753
861-77-0145,2023-12-20 14:30:00,Saturday,March,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,40.985,860.685,Cash,9.2,40.985,11,946.7534999999999
479-26-8945,2023-12-20 11:32:00,Monday,February,B,Mandalay,Member,Female,Sports and travel,16.49,2,1.649,34.629,Ewallet,4.6,1.649,4,69.258
210-67-5886,2023-12-20 10:41:00,Monday,February,C,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.7315,309.3615,Credit card,7.8,14.7315,1,103.12049999999999
227-78-1148,2023-12-20 12:44:00,Thursday,February,B,Mandalay,Normal,Female,Fashion accessories,72.84,7,25.494,535.374,Cash,8.4,25.494,7,535.374
645-44-1170,2023-12-20 20:07:00,Friday,January,A,Yangon,Member,Male,Home and lifestyle,58.07,9,26.1315,548.7615,Ewallet,4.3,26.1315,8,487.788
237-01-6122,2023-12-20 20:31:00,Thursday,February,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,Credit card,9.5,36.3555,9,763.4655
225-98-1496,2023-12-20 13:01:00,Friday,March,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4.053,85.113,Credit card,7.1,4.053,4,113.484
291-32-1427,2023-12-20 12:29:00,Monday,March,B,Mandalay,Member,Male,Fashion accessories,21.94,5,5.485,115.185,Ewallet,5.3,5.485,5,115.185
659-65-8956,2023-12-20 15:26:00,Tuesday,January,B,Mandalay,Member,Male,Fashion accessories,51.36,1,2.568,53.928,Ewallet,5.2,2.568,2,107.856
642-32-2990,2023-12-20 20:48:00,Friday,February,A,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,115.08,Ewallet,6.0,5.48,6,69.048
378-24-2715,2023-12-20 20:38:00,Saturday,January,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,5.344,112.224,Ewallet,4.1,5.344,2,112.22399999999999
638-60-7125,2023-12-20 17:03:00,Wednesday,February,A,Yangon,Normal,Female,Electronic accessories,99.56,8,39.824,836.304,Credit card,5.2,39.824,9,940.842
659-36-1684,2023-12-20 12:02:00,Friday,January,C,Naypyitaw,Member,Male,Sports and travel,57.12,7,19.992,419.832,Credit card,6.5,19.992,6,359.856
219-22-9386,2023-12-20 17:26:00,Friday,March,B,Mandalay,Member,Male,Sports and travel,99.96,9,44.982,944.622,Credit card,4.2,44.982,10,1049.58
336-78-2147,2023-12-20 19:52:00,Tuesday,March,C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,25.564,536.844,Credit card,4.6,25.564,7,469.7385
268-27-6179,2023-12-20 14:57:00,Friday,March,B,Mandalay,Member,Female,Fashion accessories,56.47,8,22.588,474.348,Ewallet,7.3,22.588,7,415.05449999999996
668-90-8900,2023-12-20 18:44:00,Saturday,March,A,Yangon,Normal,Female,Home and lifestyle,93.69,7,32.7915,688.6215,Credit card,4.5,32.7915,7,688.6215
870-54-3162,2023-12-20 13:26:00,Saturday,January,A,Yangon,Normal,Female,Sports and travel,32.25,5,8.0625,169.3125,Cash,9.0,8.0625,5,169.3125
189-08-9157,2023-12-20 16:17:00,Monday,January,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,14.2785,299.8485,Credit card,5.9,14.2785,6,199.899
663-86-9076,2023-12-20 15:57:00,Monday,January,C,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.416,575.736,Ewallet,8.5,27.416,8,575.7360000000001
549-84-7482,2023-12-20 11:15:00,Thursday,February,B,Mandalay,Normal,Female,Sports and travel,90.28,9,40.626,853.146,Ewallet,7.2,40.626,10,947.9399999999999
191-10-6171,2023-12-20 13:18:00,Thursday,January,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.867,291.207,Cash,7.5,13.867,6,249.60599999999997
802-70-5316,2023-12-20 20:34:00,Tuesday,March,A,Yangon,Member,Female,Sports and travel,92.13,6,27.639,580.419,Cash,8.3,27.639,6,580.419
695-51-0018,2023-12-20 18:36:00,Saturday,February,B,Mandalay,Normal,Female,Sports and travel,34.84,4,6.968,146.328,Cash,7.4,6.968,4,146.328
590-83-4591,2023-12-20 14:40:00,Saturday,February,B,Mandalay,Member,Male,Electronic accessories,87.45,6,26.235,550.935,Credit card,8.8,26.235,6,550.9350000000001
483-71-1164,2023-12-20 16:43:00,Thursday,March,C,Naypyitaw,Normal,Female,Health and beauty,81.3,6,24.39,512.19,Ewallet,5.3,24.39,6,512.1899999999999
597-78-7908,2023-12-20 19:39:00,,February,C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,13.533,284.193,Cash,6.2,13.533,1,94.731
700-81-1757,2023-12-20 20:59:00,Thursday,January,A,Yangon,Normal,Female,Electronic accessories,26.31,5,6.5775,138.1275,Credit card,8.8,6.5775,5,138.12749999999997
354-39-5160,2023-12-20 15:39:00,,February,A,Yangon,Member,Female,Home and lifestyle,34.42,6,10.326,216.846,Cash,9.8,10.326,6,216.846
241-72-9525,2023-12-20 12:21:00,Friday,February,B,Mandalay,Normal,Male,Sports and travel,51.91,10,25.955,545.055,Cash,8.2,25.955,8,436.044
575-30-8091,2023-12-20 19:25:00,Friday,March,A,Yangon,Normal,Male,Sports and travel,72.5,8,29.0,609.0,Ewallet,9.2,29.0,8,609.0
731-81-9469,2023-12-20 13:00:00,Tuesday,January,C,Naypyitaw,Member,Female,Sports and travel,89.8,10,44.9,942.9,Credit card,5.4,44.9,11,1037.19
280-17-4359,2023-12-20 13:48:00,Thursday,January,C,Naypyitaw,Member,Male,Health and beauty,90.5,10,45.25,950.25,Cash,8.1,45.25,11,1045.275
338-65-2210,2023-12-20 19:57:00,Monday,February,C,Naypyitaw,Member,Female,Health and beauty,68.6,10,34.3,720.3,Cash,9.1,34.3,10,720.3
488-25-4221,2023-12-20 10:36:00,Thursday,February,C,Naypyitaw,Member,Female,Food and beverages,30.41,1,1.5205,31.9305,Credit card,8.4,1.5205,3,95.7915
239-10-7476,2023-12-20 16:37:00,,January,A,Yangon,Normal,Female,Home and lifestyle,77.95,6,23.385,491.085,Ewallet,8.0,23.385,6,491.08500000000004
458-41-1477,2023-12-20 17:11:00,Thursday,March,C,Naypyitaw,Normal,Female,Health and beauty,46.26,6,13.878,291.438,Credit card,9.5,13.878,5,242.86499999999998
685-64-1609,2023-12-20 12:28:00,Saturday,February,A,Yangon,Member,Female,Fashion accessories,30.14,10,15.07,316.47,Ewallet,9.2,15.07,7,221.52900000000002
568-90-5112,2023-12-20 12:46:00,Monday,March,C,Naypyitaw,Normal,Male,Health and beauty,66.14,4,13.228,277.788,Credit card,5.6,13.228,3,208.341
262-47-2794,2023-12-20 15:07:00,Tuesday,March,B,Mandalay,Member,Male,Home and lifestyle,71.86,8,28.744,603.624,Credit card,6.2,28.744,8,603.624
238-49-0436,2023-12-20 13:48:00,Tuesday,March,A,Yangon,Normal,Male,Health and beauty,32.46,8,12.984,272.664,Credit card,4.9,12.984,6,204.498
608-96-3517,2023-12-20 19:20:00,Friday,March,B,Mandalay,Member,Female,Fashion accessories,91.54,4,18.308,384.468,Credit card,4.8,18.308,3,288.351
584-86-7256,2023-12-20 16:07:00,,March,C,Naypyitaw,Member,Male,Sports and travel,34.56,7,12.096,254.016,Credit card,7.3,12.096,6,217.728
746-94-0204,2023-12-20 11:56:00,Monday,January,A,Yangon,Normal,Male,Fashion accessories,83.24,9,37.458,786.618,Credit card,7.4,37.458,9,786.6179999999999
214-17-6927,2023-12-20 18:23:00,Wednesday,February,C,Naypyitaw,Normal,Female,Food and beverages,16.48,6,4.944,103.824,Ewallet,9.9,4.944,5,86.52000000000001
400-89-4171,2023-12-20 13:05:00,,January,C,Naypyitaw,Normal,Female,Sports and travel,80.97,8,32.388,680.148,Cash,9.3,32.388,8,680.148
782-95-9291,2023-12-20 15:55:00,Tuesday,February,A,Yangon,Member,Male,Food and beverages,92.29,5,23.0725,484.5225,Credit card,9.0,23.0725,5,484.52250000000004
279-74-2924,2023-12-20 19:40:00,Thursday,January,B,Mandalay,Member,Male,Electronic accessories,72.17,1,3.6085,75.7785,Cash,6.1,3.6085,0,0.0
307-85-2293,2023-12-20 13:58:00,Wednesday,March,B,Mandalay,Normal,Male,Home and lifestyle,50.28,5,12.57,263.97,Ewallet,9.7,12.57,5,263.97
743-04-1105,2023-12-20 14:43:00,Friday,March,B,Mandalay,Member,Male,Health and beauty,97.22,9,43.749,918.729,Ewallet,6.0,43.749,10,1020.8100000000001
423-57-2993,2023-12-20 19:18:00,Tuesday,March,B,Mandalay,Normal,Male,Sports and travel,93.39,6,28.017,588.357,Ewallet,10.0,28.017,6,588.3570000000001
894-41-5205,2023-12-20 19:39:00,Friday,January,C,Naypyitaw,Normal,Female,Food and beverages,43.18,8,17.272,362.712,Credit card,8.3,17.272,6,272.034
275-28-0149,2023-12-20 16:21:00,,February,A,Yangon,Normal,Male,Sports and travel,63.69,1,3.1845,66.8745,Cash,6.0,3.1845,1,66.8745
101-17-6199,2023-12-20 19:44:00,Tuesday,March,A,Yangon,Normal,Male,Food and beverages,45.79,7,16.0265,336.5565,Credit card,7.0,16.0265,6,288.47700000000003
423-80-0988,2023-12-20 19:42:00,Tuesday,January,C,Naypyitaw,Normal,Male,Sports and travel,76.4,2,7.64,160.44,Ewallet,6.5,7.64,1,80.22
